accountEntryCode,accountEntryId
FNMAFMCONNECT,94763973
FNMAIMR,56591689
FNMTWEB,77070013
FNPC,48332656
FNV,71957458
FRANCEDEFI,43450835
FRBANK,72390045
FREEMANCOWEB,39449686
FRONTIERNURSE,41643819
FSECURE,4882839
FSVPS,4840530
FUJITSUFI,6115011
FUJITSULTD,62120410
FUKOKUSMS,84735867
FUNDAMENTA,5473035
GATEWAYHLTH,38318222
GCENV,51991098
GCFUND,60107988
GDFSUEZIT,36819267
GDHRWA,30264996
GEAUTOSLG,39498357
GEBRUEDERWEISS,85418977
GECAPITALUK,37826226
GEFA,39363669
GEFABAPEMAMA,94738856
GEMONEY,55006098
GENWORTH,4840543
GENWORTHEU,31115003
GERRYWEBERIT,4840546
GESAMTMITGLI,93712412
GESTAMPINTRANET,77155219
GETRANSCP,18037406
GINGERHOTELS,24815101
GIPS,36944139
GKV,32622738
GLOBUS,55123441
GMD,36184182
GNDIPC,84138879
GNSCO,56694939
GOA,15697771
GOBAINEXTRANET,44341731
GOBIERNOCANTA,7343631
GOBSMALOYALT,89233172
GOL,66845171
GOOGLEPARIO,91034052
GOPOINTS,26903132
GPIL,37024414
GRACO,13230860
GRIFOLS,18081205
GROUPAMA,60122249
GRUPONORTE,48503548
GWINNEGCWEBS,96744848
GWU,10538107
HAGEBAUIT,83028699
HANSEMERKUR,5326349
HAUFE,5805587
HAUNIMKUNDEN,96663552
HAVASREDSOCIAL,46260229
HAYSAG,26418392
HBE,13880724
HCAHEALTH,13791179
HEALTHPLAN,56830522
HEALTHPRO,23802706
HEARST,90348476
HELLENIC,10731090
HEMA,88278359
HIOA,22879555
HITACHISP,94326669
HITACHISPEN,95105084
HIVOS,30461525
HMC,14812813
HNBCNB,58092660
HOPE,12667649
HOSAUTH,12580878
HP,61989431
HPCOMPANY,96333003
HPE,26100269
HPI,61809127
HPIDAAS,86081099
HPTEXAS,9743050
HRBAGENT,26391542
HRSD,14348575
HUMANIA,35839595
HUMANISESPACE,82049599
HUMANISINEAT,23827392
HYUNDAIINDIA,32607393
HYVIS,72215006
IBMNHSESR,69466915
IBX,63581643
IBXWEB,80569226
IDEWE,40310773
IDEWEVIDEWEP,91783515
IDEX,26663958
IEEEINTRANET,15434768
IEEESTANDARDS,41880537
IFAD,49936110
IFADINNEWINT,99412817
IFL,13141573
IHG,6159800
IHISMOH,65146424
IHKBERLIN,26459781
IMRB,32996118
INCHAPEGLOBAL,75930808
INDECOPI,64424460
INDITEXFASHION,36710962
INDITEXWEB,25363313
INDRAHARAMEIN,108127460
INDYNE,68881930
INFOROEMEMEA,83033825
INGJAPAN,51448884
INGLIFELUX,49016521
INGOSSTRAKH,78265366
INGROMANIA,49652574
INPECO,81862176
INSIELCITYCO,104964932
INSTITIMPLEM,116978356
INTELLICOG,41436218
INTERMOUNTAIN,11867085
INTESASANPAOLO,19046721
INTRACGRCHILE,89282586
INTRALOT,12785799
INTRALOTLBET,58107177
IPLANRIO,29218099
IPPONTCCIPEN,91130370
ISCECO,7746038
ISCECOAGATE,15643334
ISHA,6734739
ISHAACC,35336021
ISONEWISONEI,99933108
ISSS,65138373
ISTA,4840619
ITEAMOPAP,18176931
ITEAMOPAPEXTRA,59641042
ITEAMOPCERT,65091076
ITERGO,13791230
IZFEWEB,47940161
JEOD,31199492
JORDANS,21411205
JPPHPRISM,40157008
JSPLICPORTAL,29109266
JUNIPER,32114970
KADASTERINKA,67186114
KBCNPW,55482373
KBCSSP,55482561
KDDIEIP,47343136
KEENAN,48120769
KELAG,14365765
KEYMILE,34958286
KHBANK,55723986
KIRKONKESFIN,30775579
KLM,8926609
KLOPINFINIT,73258747
KNOELL,47003692
KONRADVKAS,76109118
KYIVSTAR,31780900
KYOEIFINTERN,90088668
LACAIXACONTROL,79058079
LACAIXAINMOCA,89005578
LANDBRANDEN,53812704
LANTIKSEDE,52530839
LATHAM,6790159
LAVINIAMMC,91540842
LAWRENCE,77072941
LCHCLEARINTER,32558758
LCHCLEARNET,4879727
LCKHEEDSYMPH,55129128
LDA,10329081
LEASEPLAN,47750805
LEHIGHVALLEY,94412356
LEIDOS,6221454
LHCARGO,55978399
LIBERTY,10688976
LIBERTYSEGWC,20765916
LIBRATOS,43697540
LIEBHERR,6621119
LIFECARE,23451546
LIFERAYDEVNET,35929514
LIFERAYDOTCOM,79070963
LIFERAYKBASE,35929495
LIFERAYLOOP,73554298
LIFERAYSO,18602611
LIFERAYWEBTEAM,16213528
LIQUIDITY,33321413
LISADRAXGMBH,32904030
LPLFINANCIAL,84165448
LPSPNA,105607618
LRCLOUD,104944124
LRCUSTOMER,79067552
LRDCOM,5377279
LRDOSSIERA,79075587
LRFOUNDATION,15285208
LRGROW,75656124
LUCKIAWEB,74586762
LUNAR,73625553
LUZKANTBANKAG,32383698
MACDON,23091749
MAEFRVISA,71896703
MAEINTRANET,27185256
MAKINO,72693643
MAKINOCP,88543510
MANDATUMLIFE,7262206
MARKETSTRAT,7810932
MARTINBROWER,57771236
MASCO,84565138
MAXIMUSSSA,5366257
MAXIMUSUPPORT,94200427
MBO,35646646
MCDONALDS,52834903
MCE,16191175
MCKESSONCA,18218517
MCKESSONPCS,62104195
MECALUXWEB,54675767
MEDIMPACT,11630730
MEITEC,16767495
MERCADONAINTRA,114216661
MERCURY,17736024
MERKURINTRA,44038304
MESSER,35385028
METCASHINTRANET,38924648
MGSC,83103011
MICHELININTRA,41959387
MIDATOV,99581518
MINTRABCOL,83191160
MINVEIJUSIND,60854363
MISUMIIP,105317529
MITELECTRIC,42039802
MITREASIAS,32418343
MITRECORP,46799558
MITSUBISHIEDP,64089897
MLBOFFICE,78425419
MME,31238308
MNIS,4840679
MNISPP,18453382
MOBCOZAIN,61477174
MODERNA,43219497
MOFAMKLN,85657333
MOH,83070253
MOMENT,77282254
MONATORICT,39861719
MONATORSKOLVER,12070235
MONDIINTRA,58875849
MONSANTODEKALB,33090681
MOREDIRECT,43813624
MOTCMYANMAR,91314864
MSCI,27780894
MSGLIFMSGONL,106548724
MSIP,105727543
MSRS,13818461
MTSINAI,20941882
MULTICAJA,76317177
MURATAEWP,31167046
MYUTI,4840949
NAPIER,37631256
NASAICE,68961167
NASASIPR,35777012
NAVYJTDI,30972475
NBME,4840709
NCCW,32548820
NCFARM,53716695
NCFOURINCOEM,4840713
NCTM,33095415
NDBIII,43970816
NEACC,32394472
NECAM,57402832
NEON,18566135
NETS,36504441
NEU,87807381
NGBCOAP,97549250
NGISFAA,55090151
NICEOEM,26134337
NIDECGIP,82285598
NIHILENT,62504999
NINESIGMA,37357413
NINTENDO,24222502
NINTENDOJPOSBT,46664931
NIYOGINIYOGI,92907479
NOAA,41445175
NOOVLE,30285809
NORIDIANSOA,18120609
NPRST,35089868
NPSECCO,14012100
NPSNPS,97674083
NRSZH,12316589
NSWDECMES,99998513
NTNU,6205915
NTTCSWEB,31828718
NTTDATAGDP,93613430
NTTDATAGW,104703773
NU,13464264
NYSID,76543677
NYU,35885402
O2CZ,56547823
O2SK,5995805
OAMI,8261867
OGILVYMATHER,4907243
OMNITEL,38971388
OMRONJP,104035061
ONESTOONESTO,93282990
ONEVUE,34556396
ONEWORLD,22256514
ONSEDC,34703773
OPAPSAOPAPGR,90893865
OPB,18878522
OPSERVICES,18171392
OPTUM,77550884
ORANGEABMSHEI,83316822
ORANGEINTRANET,90927555
ORANGEMOBIL,33847254
ORBIS,37048028
ORDINAUWV,36134462
OUNCWS,17817701
OUNDLWO,39500275
P7S1P,8929438
PARKPHOENIX,17111543
PBANBRBIP,76316896
PBANCONTROL,37639451
PBANESABWEB,62067235
PBANESCERT,63185807
PBANUSSOVEREIGN,28113308
PBEAKK,80714958
PBG,13553565
PBGNP,67246830
PEGASOPORTAL,109469758
PELAYOINTRANET,97985252
PELCO,30907489
PENSKE,18095228
PERMTECH,25194007
PFIKSLGA,22435355
PFISP,15466033
PGS,83665786
PHILADELPHIA,39327754
PHILADELPHIAPP,82561237
PLATTS,47468385
PNMR,23489253
POLICETRAINI,105321208
POSADAS,6122029
POSTEKME,70452164
POUPEX,63053046
POWERSECTOR,37771445
PPADOASTURIAS,73541342
PPADOASTURWEB,54518947
PREFSBC,43896681
PREFVIANA,32748989
PREVIRED,31018044
PROCESPORTAL,101971451
PROCUREEDGE,84126678
PSA,115786741
PTCONSULTING,18699559
PUBOFFICEEU,31992978
PUJ,31972641
PULLMANTURWEB,7733450
PUTZMEISTER,43008317
PUTZMEISTERCMPL,91430707
PVVIVIUM,16408945
PZUPORTAL,6776704
QAD,14365861
QANTAS,38545595
QMLDATACOM,91618416
QOGNIFY,72157719
QUEBECOR,81038914
RACE,26601412
RADBOUD,13770897
RAIFFEISENHR,25588779
RAIFFEISENHU,8931407
RAIFFEISENIT,33547319
RAILINC,4840813
RAKYAT,64467108
RAYTHEONGLOBE,76367889
REGENT,46330040
RELIANCECFD,55975311
RELIANCEINFRA,82731584
RENT,45518393
RESATO,47750370
RIL,57813075
RIRDC,73376122
RITEAID,4859537
RMS,33652397
RNEP,5060249
RNHBRNHBPORT,94395258
ROCKWELL,60189131
ROHM,13385020
RPAVALAMIS,87238817
RSPCA,6619517
SABESP,89544070
SABRE,41478391
SACEBOARDOFSA,4840829
SACYRINTRANET,95366966
SAMMONS,13233608
SANTALUCIA,11866552
SARGENTO,13535046
SBCUR,56636200
SBPASC,59893176
SCDHHS,84672480
SCFCOPPER,30499144
SCHLLERMBELW,17253680
SCHNEIDERCN,76103400
SCHNEIDERSPICE,32412192
SCHOOLSPECIALTY,4902720
SCHOTTINTRA,25640805
SCIENCEWORKS,6158337
SECRTARIAT,92648016
SECUREXPORTAL,58980297
SECUREXPORTAL2,114027656
SECURITAS,55016194
SECURUS,18838988
SEI,58042341
SEIIP,76255874
SEIUSPORTAL,73055430
SEMANTICO,76909327
SERVHRETAIL,85845746
SERVIHABITATWEB,76854833
SGI,17538046
SHARP,44310605
SICOOB,12153065
SIEMENSAGRAIL,43210365
SIEMENSCH,71507250
SIM,35249391
SIMIPS,67762638
SINAIHEALTH,67141713
SINGULAR,14119291
SINGULARGR,59395065
SIRIOLIBANES,56600825
SITA,11296483
SKYTV,38442020
SLOTELKOM,41018606
SMCOEM,100112405
SMILES,40081829
SNLT,6074853
SOFTBANKORG,92843611
SOFTBANKORGNEW,105974830
SOGEICAMBIAVERS,102270471
SOGEIGIUTRI,106491290
SOGEIINTRADOG,103850582
SOGEIMEF,96241477
SOGEINOIPA,88096389
SOGEIPRECOMP,105739967
SOGEISPA,7481844
SOGEISPANEW,73728135
SOMFYSAS,16127119
SOMPOJAPANNK,57286309
SOPRAINTERNAL,45000287
SOPRARECBANKING,59882069
SOPRASGASXPO,103379499
SP,7643603
SPAWARNKO,104982827
SPCESRELIB,78142010
SPIRE,83325031
SPMSPEMPORTAL,73871428
SPRINGER,39021450
SPUP,85136258
SPW,33417495
SSQ,32747436
STADTWWIENAT,93071818
STANDBANKAFRICA,65648415
STANFORD,18120666
STARALLIANCE,52897483
STCMYLINK,20995438
STCNETPORTAL,45432719
STERREWEBSIT,90424002
STGOBAIN,24214987
STGOBAINPLACO,25319448
STICHHEEREN,30666979
STICHTPHILAD,99906248
STMFIN,43058847
STORAENSO,60074523
STOXX,36551104
STUTTGARTER,12764904
STUTTGARTINTRA,67136286
SUEZ,63968146
SUMITOMOLIFE,38244113
SUMITOMORIKOIP,59783831
SUNGARDAS,12154751
SUNPOWERPP,63593118
SUPPORTTRAINING,10975889
SVINFORMATIK,72374376
SYNCERA,84486811
SYNCLIFERAY,85100325
SYNECTICDILIGEN,92472252
SYNECTICOVAB,35168689
SYNECTICWEBS,11541907
SYNTELINTRAN,95778457
TAFE,52134197
TAFENSW,94657165
TALGOINTRANET,90654091
TALLINK,12609063
TATAAIG,32958927
TATASKYRECHARGE,51831981
TATASKYSELFCARE,86629095
TCLTCS,32958687
TCSAIRBUS,87886648
TECONNECTIVITY,52029765
TELECOMCONS,75556910
TELEFONICA,94524559
TELEFONICAPE,49851206
TELMEX,76400172
TELXGROUPINC,4951201
TERVITA,53210357
TESCOMERCHANT,35576465
TEST,73548586
TESTRAY,77242575
TESTSPAIN,78729931
THESPACEPRO,6040682
THLCOP,55586154
THLWEBSITE,28015822
THOMASCOOK,41914439
TINKFORDES,50995484
TJPE,11614570
TJPR,8892907
TJRJ,25245926
TJSC,25009750
TLFCHILECO,50916065
TLFLATAMCO,64410341
TLFLATAMCONTROL,38491911
TLFPERUCO,43933909
TLFWEBSI,56901012
TMGHEALTH,26591856
TOFFDELUCA,46091033
TOLLCOLLECT,33184194
TOTAL,71203512
TOTALPORTFACT,76067324
TOYSRUS,39841920
TRACTOR,12644166
TRANSP,32782918
TRAVELPRTLP,61995591
TREPR,30704244
TRIALSUOMEKONOM,90970155
TRINITY,13573878
TRT1,42491550
TSBR,76248207
TSYSTEMSCCPDE,37288177
TSYSTEMSCCPUS,37103443
TSYSTEMSSA,58187533
TUDELFTUNI,77259964
TUDORTMUNDSP,17699534
TUTINTRANET,47241947
UABHEALTHSYS,18952877
UAL,38528268
UDN,12422289
UEA,12982500
UMASS,5132356
UMASSSP,106161051
UNIFOR,77500789
UNIFY,39509000
UNILONDON,44843951
UNIMAAS,47750721
UNIMED,6096458
UNINETTAGORA,10616914
UNIONPACRAIL,6094967
UNIQLOIP,56799098
UNITEDPHYS,50606756
UNIWIEN,32370165
UOFPORTLAND,5170400
UPF,14275016
UPPSALAUNI,7998641
USAAC,6039230
USARMYDSS,68964177
USARMYPEO,35350113
USBANK,14261824
USDEPAFIRSTR,91694537
USDEPTINT,43591715
USNAVYMNP,14833210
USNAVYNKOMNP,115498050
USNVYMNP,100752845
USTRANSCOM,6030033
UTIPUBLICSITE,8830859
UTIWORLDWIDE,37856675
UTPA,69931027
UVL,10456202
UZBRUSSELUZPS,84338395
VACARET,75701228
VAG,13189878
VANTIV,32147443
VBLINTERNET,88053653
VCU,4840953
VDMA,14243373
VECTORINFGH,31321326
VENETO,31709935
VERISIGN,10439270
VERNETOIMITUS,23296859
VERSATERM,12139236
VETAFFAIRS,42938927
VGR,6576064
VICSES,78260710
VINCENNES,46624226
VINCI,51353553
VIRIDIUM,83494109
VITERRA,46624185
VIVISOL,56865892
VMWARE,6028770
VMWAREDAAS,31965746
VMWAREDP,18748614
VMWAREVAULT,18926951
VODAFONEZRT,11642970
VOLKSWAGENUS,6381402
VONTOBEL,40433610
VTV,27352420
VWR,13085413
WALGREENSINTRA,90885999
WALTER,14389000
WBMI,106980304
WEIGHTWATCHERS,42884076
WESTBEND,99126170
WINDSOR,13258181
WINGASKUND,76584356
WIPROINDIA,9257904
WISAG,63101762
WKNLPORTAL,51511442
WOM,78877205
WORCESTERSHIRE,32560408
WORLDIMPACT,6817590
WWK,5616296
YAI,55660813
YANMARDS,77512849
YELLOWPAGES,19055019
YIT,36626343
YOKOGAWAGP,65230478
YORKUNIV,5243412
ZAIN,32958750
ZURICHWEB,116253530
ZUS,59728619
